question,right answer,wrong a,wrong b
Whales are what type of animal,Mammals,Fish,Reptiles
Cetaceans do not have ,A Gall Bladder,A Lung,Courage
The largest animal on earth is a,Blue Whale,Humpback Whale,Elephant
The second largest animal on earth is a,Fin Whale,Giraffe,Elephant
Moby Dick was,Sperm Whale,Pilot Whale,Jam Band
Which of the cetaceans is the shortest in length as adults,Dwarf Sperm Whale,Bottlenose Dolphin,Risso's Dolphin
Which of these is extinct,Basilosaurus,Humpback Whale,Mesoplodon
Whales were / are primarly hunted for,Oil,Leather,Perfume
The behavior of a whale jumping out of the water is,Breaching,Chuffing,Surfing
Baleen whales feed by,Filtering their food from seawater,Using suction to feed on seagrass,Ordering take-out
Why did we launch a program to recycle fishing line,To prevent sealife from becoming entangled,It makes great decorations,It can be untangled and reused
The only cetacean that occurs near shore year-round in NC is,bottlenose dolphin,pilot whale,porpoise
In order to get our whale bones we,Bury the whale for several years,Wait for them to decompose on the beach,Employ a team of surgeons to extract the bones
Bonehenge was primarily funded by,Contributions from hundreds of doners and volunteers,A huge Federal grant,A lucky lottery ticket
We call the process of putting a whale skeleton back together,Rearticulation,Solving a jig saw puzzle,Reanimation
Teeth NC beaked whales occur ,Only in lower jaws,Only in upper jaws,In both upper and lower jaws
Bonehenge is,A non-profit organization,A for profit enterprise,A fishing competition
